"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Do Nūa - La Villa Ari","4.9","161","3rd Floor, 356 Phahonyothin Rd","Phaya Thai","Bangkok","TH","http://www.facebook.com/p/Do-N%C5%ABa-100090583812430","+66 62 546 0562","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Do%20N%C5%ABa%20-%20La%20Villa%20Ari&query_place_id=ChIJzSGKcbqd4jARz2juHM1CBWU","Thai restaurant"
"Kinroll - Ari | กินโรล - อารีย์","4.8","397","Ari, Ari 4 Fang Nua Alley","Phaya Thai","Bangkok","TH","https://www.facebook.com/Kinroll.ari","+66 82 915 8715","Restaurant","Asian restaurant","Japanese delicatessen","Japanese restaurant","Seafood restaurant","Sushi restaurant",,,,,"https://www.google.com/maps/search/?api=1&query=Kinroll%20-%20Ari%20%7C%20%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B9%82%E0%B8%A3%E0%B8%A5%20-%20%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C&query_place_id=ChIJXV78UEKd4jARC52Rr3NnqBY","Restaurant"
"Brooks brunch & bar Ari","4.8","1771","18 Ari 4 Fang Nua Alley","Phaya Thai","Bangkok","TH","https://linktr.ee/brooks.brunchandbar","+66 64 936 4229","Restaurant","Brunch restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Brooks%20brunch%20%26%20bar%20Ari&query_place_id=ChIJh4PTdWyd4jARLZPuo5nt_q4","Restaurant"
"Cantina Italian Kitchen (Ari)","4.6","797","142 Rama VI Soi 30","Phaya Thai","Bangkok","TH","http://www.cantinabkk.com/","+66 2 038 5114","Italian restaurant","Restaurant","Wine bar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cantina%20Italian%20Kitchen%20(Ari)&query_place_id=ChIJB7NJSKie4jARfoG2zttdIxU","Italian restaurant"
"Sonny Ari","4.9","1010","33 Rajakru Building 1 Floor, Phaholyothin 5 Rd","Phaya Thai","Bangkok","TH","https://www.instagram.com/sonny_.ari/","+66 98 746 7891","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sonny%20Ari&query_place_id=ChIJ4bcTtMWf4jARo1RG_OMU9dU","Restaurant"
"Madcow burger x Under Over Ari","4.8","246","In A-ONE Ari, Soi Ari 1","Phaya Thai","Bangkok","TH","https://linktr.ee/madcow.ari","+66 80 927 9098","Hamburger restaurant","Pizza restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Madcow%20burger%20x%20Under%20Over%20Ari&query_place_id=ChIJtbK7WrOd4jARTFq03G7s99k","Hamburger restaurant"
"Parma Ari","4.7","188","2 1 Ari Samphan 4 Alley","Phaya Thai","Bangkok","TH","https://www.facebook.com/Parma.Ari","+66 82 294 9292","Italian restaurant","Cocktail bar","Dessert restaurant","Takeout Restaurant","Restaurant","Wine bar",,,,,"https://www.google.com/maps/search/?api=1&query=Parma%20Ari&query_place_id=ChIJuxXFDRyf4jAROApXe-uZPCw","Italian restaurant"
"Kopihub Prime l Ari","4.8","3432","33 Soi Ari 2","Phaya Thai","Bangkok","TH","https://kopihub.co/","+66 80 992 4922","Dim sum restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopihub%20Prime%20l%20Ari&query_place_id=ChIJgdqs_tuf4jARl5VCETZn0do","Dim sum restaurant"
"O’ganic Concept ARI","4.9","479","68/1 Ari Samphan 1 Alley","Phaya Thai","Bangkok","TH","http://absolute-health.org/about-us/ah-group/health-kitchen","+66 64 151 7996","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=O%E2%80%99ganic%20Concept%20ARI&query_place_id=ChIJ21RHAG2f4jARLB-pTpXMXh8","Restaurant"
"Sousaku Ari","4.6","1123","39 1 ซอย พหลโยธิน 7","Phaya Thai","Bangkok","TH","http://www.facebook.com/SousakuSushi","+66 88 229 3939","Japanese restaurant","Restaurant","Sushi restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sousaku%20Ari&query_place_id=ChIJs3BZdR2c4jARB8V8iANTx7o","Japanese restaurant"
